2step;TwoLeadECG;0.0050;308.290;0.939;42.018;40.860;0.250
2step;TwoLeadECG;0.0100;500.760;0.619;5.861;23.160;0.080
2step;TwoLeadECG;0.0100;498.950;0.612;5.000;21.510;0.060
2step;Two_Patterns;0.0005;1068.894;0.796;126.447;35444.520;8.300
2step;Two_Patterns;0.0005;970.479;0.821;126.240;87833.850;16.270
2step;Two_Patterns;0.0010;1255.127;0.812;126.032;35554.540;10.040
2step;Two_Patterns;0.0010;1328.499;0.794;125.875;35103.180;10.530
2step;Two_Patterns;0.0050;3045.000;0.259;4.000;73055.390;0.330
2step;Two_Patterns;0.0050;3013.000;0.267;4.000;73719.900;0.330
2step;Two_Patterns;0.0100;3146.000;0.254;4.000;75888.360;0.300
2step;Two_Patterns;0.0100;3116.000;0.261;4.000;191854.170;0.510
2step;UWaveGestureLibraryAll;0.0005;1756.151;0.837;654.467;364005.920;693.390
2step;UWaveGestureLibraryAll;0.0010;2721.239;0.245;4.813;530069.110;28.460
2step;UWaveGestureLibraryAll;0.0050;2775.640;0.245;4.000;577379.350;0.290
2step;UWaveGestureLibraryAll;0.0050;2776.640;0.245;4.000;560740.590;0.300
2step;UWaveGestureLibraryAll;0.0100;2842.280;0.247;4.000;348526.190;0.300
2step;UWaveGestureLibraryAll;0.0100;2848.280;0.245;4.000;356805.110;0.300
2step;Wine;0.0005;33.232;0.500;230.815;147.140;0.070
2step;Wine;0.0005;25.293;0.611;159.000;122.560;0.030
2step;Wine;0.0010;27.810;0.500;15.000;123.220;0.010
2step;Wine;0.0010;29.106;0.500;39.000;123.000;0.010
2step;Wine;0.0050;28.080;0.500;4.000;128.400;0.010
2step;Wine;0.0050;28.350;0.500;5.000;129.020;0.000
2step;Wine;0.0100;31.320;0.500;8.000;160.400;0.000
2step;Wine;0.0100;29.700;0.500;5.000;130.070;0.000
2step;WormsTwoClass;0.0005;89.127;0.552;89.801;4006.380;0.440
2step;WormsTwoClass;0.0005;86.770;0.558;74.812;3301.860;0.160
2step;WormsTwoClass;0.0010;106.133;0.486;72.558;2856.640;0.210
2step;WormsTwoClass;0.0010;93.889;0.558;76.735;2691.890;0.120
2step;WormsTwoClass;0.0050;80.470;0.580;4.939;6916.420;0.020
2step;WormsTwoClass;0.0050;79.620;0.580;4.000;4673.530;0.010
2step;WormsTwoClass;0.0100;83.240;0.580;4.000;4184.400;0.010
2step;WormsTwoClass;0.0100;83.240;0.580;4.000;3277.970;0.010
2step;synthetic_control;0.0005;35.690;0.907;51.267;511.360;0.150
2step;synthetic_control;0.0005;29.874;0.927;52.493;385.380;0.120
2step;synthetic_control;0.0010;41.867;0.907;46.223;424.080;0.130
2step;synthetic_control;0.0010;41.796;0.903;42.653;733.080;0.180
2step;synthetic_control;0.0050;71.430;0.853;18.287;730.970;0.080
2step;synthetic_control;0.0050;72.570;0.860;20.380;1242.430;0.230
2step;synthetic_control;0.0100;79.010;0.833;9.670;1082.340;0.060
2step;synthetic_control;0.0100;79.310;0.843;10.770;610.000;0.050
2step;uWaveGestureLibrary_X;0.0010;2713.328;0.247;4.000;323619.210;0.330
2step;uWaveGestureLibrary_X;0.0050;2771.640;0.246;4.000;256333.520;0.310
2step;uWaveGestureLibrary_X;0.0050;2770.640;0.247;4.000;384595.970;0.320
2step;uWaveGestureLibrary_X;0.0100;2839.280;0.247;4.000;172736.200;0.300
2step;uWaveGestureLibrary_X;0.0100;2839.280;0.247;4.000;167865.120;0.290
2step;uWaveGestureLibrary_Y;0.0050;2696.640;0.267;4.000;285465.190;0.320
2step;uWaveGestureLibrary_Y;0.0100;2765.280;0.268;4.000;153986.280;0.290
2step;uWaveGestureLibrary_Z;0.0005;1965.228;0.601;299.960;268491.250;80.710
2step;uWaveGestureLibrary_Z;0.0010;2333.213;0.482;133.504;346421.900;120.190
2step;uWaveGestureLibrary_Z;0.0050;2692.640;0.268;4.000;496738.460;0.480
2step;uWaveGestureLibrary_Z;0.0100;2763.280;0.269;4.000;165870.520;0.300
2step;wafer;0.0050;355.280;0.962;4.000;10253.640;0.380
2step;wafer;0.0050;355.280;0.962;4.000;14077.390;0.370
2step;wafer;0.0100;478.560;0.962;4.000;7571.440;0.380
2step;yoga;0.0005;1576.636;0.632;315.757;64681.750;81.560
2step;yoga;0.0005;1317.129;0.646;170.086;24275.070;44.120
2step;yoga;0.0010;1388.391;0.561;24.130;34801.270;8.480
2step;yoga;0.0010;1491.479;0.627;124.493;35313.300;25.940
2step;yoga;0.0050;1453.000;0.536;4.000;24960.730;0.190
2step;yoga;0.0050;1453.000;0.536;4.000;30694.940;0.180
2step;yoga;0.0100;1513.000;0.536;4.000;27942.790;0.200
2step;yoga;0.0100;1513.000;0.536;4.000;28912.330;0.180
2step;OSULeaf;0.0005;159.385;0.397;110.616;13138.900;1.190
2step;OSULeaf;0.0005;145.197;0.463;125.599;9064.740;1.210
2step;OSULeaf;0.0010;158.461;0.401;55.624;11424.590;0.310
